contributor_id,recipe_id,created
47892,137739,2005-09-16
26278,31490,2002-06-17
196586,112140,2005-02-25
68585,59389,2003-04-14
41706,44061,2002-10-25
1533,5289,1999-12-06
21730,25274,2002-04-14
10404,67888,2003-07-30
102353,70971,2003-09-10
15892,75452,2003-11-04
49168,109439,2005-01-25
41531,42198,2002-10-03
85627,67547,2003-07-26
137696,107517,2005-01-03
37449,39959,2002-09-10
14664,63986,2003-06-06
52268,43026,2002-10-14
35268,23933,2002-03-29
4481,8559,2001-01-27
3288,23850,2002-03-28
95743,76808,2003-11-17
3288,24701,2002-04-08
108291,83873,2004-02-13
158966,107699,2005-01-05
64428,49262,2002-12-19
6164,48156,2002-12-09
40525,54272,2003-02-17
31871,47366,2002-11-21
1533,37073,2002-08-13
35193,44123,2002-10-25
37305,27087,2002-05-03
28604,59952,2003-04-16
91081,93249,2004-06-11
68357,54100,2003-02-15
91970,67664,2003-07-26
70662,87098,2004-03-20
37305,25775,2002-04-22
40493,33165,2002-07-04
1533,38798,2002-08-29
34687,22123,2002-03-11
15851,90921,2004-05-10
133174,93959,2004-06-22
133174,93958,2004-06-22
37183,58224,2003-04-04
26278,33606,2002-07-08
44372,94710,2004-06-30
22724,35173,2002-07-27
116315,83025,2004-02-04
49304,52804,2003-01-29
29506,108414,2005-01-15
37305,26995,2002-04-30
60512,53402,2003-02-04
79219,59632,2003-04-14
29212,22526,2002-03-14
164610,100870,2004-09-29
4470,84797,2004-02-23
6164,35653,2002-07-29
27678,32169,2002-06-25
32692,24478,2002-04-08
41706,44045,2002-10-25
76846,60219,2003-04-18
67026,81185,2004-01-15
41480,30131,2002-06-03
47858,63593,2003-06-02
28201,43164,2002-10-14
6164,30300,2002-06-04
12875,78655,2003-12-12
87877,74805,2003-11-01
82367,71635,2003-09-26
37640,38276,2002-08-26
51224,97052,2004-08-05
37305,26835,2002-04-29
41809,32271,2002-06-25
173674,107229,2004-12-30
1534,5060,1999-12-01
6164,42570,2002-10-07
1533,52443,2003-01-28
6164,35595,2002-07-29
178452,108804,2005-01-19
124847,83950,2004-02-14
15572,19208,2002-02-08
82367,64302,2003-06-11
34272,35964,2002-08-02
93698,71457,2003-09-15
118163,95926,2004-07-20
73836,103948,2004-11-12
110034,99024,2004-09-02
52448,64045,2003-06-06
56266,41756,2002-10-01
167849,112959,2005-03-08
49879,83062,2004-02-04
107823,98930,2004-09-01
108291,83133,2004-02-05
54631,39947,2002-09-10
51224,44895,2002-10-29
51579,39363,2002-09-03
82367,62368,2003-05-17
37584,111875,2005-02-24
55690,42522,2002-10-07
23302,34930,2002-07-24
12657,63793,2003-06-05
33823,61973,2003-05-12
59756,45859,2002-11-13
35635,58651,2003-04-07
42337,59534,2003-04-14
21730,24137,2002-04-02
35965,40237,2002-09-15
28442,18537,2002-01-30
171303,104243,2004-11-17
51109,105069,2004-11-30
75379,70099,2003-09-02
985201,333281,2008-10-27
491095,234069,2007-06-11
51641,37841,2002-08-20
261984,144952,2005-11-13
1848091,453467,2011-04-11
45368,31835,2002-06-20
161265,197013,2006-11-21
50969,306168,2008-05-30
461724,286009,2008-02-12
23302,24514,2002-04-08
18660,42508,2002-10-07
107334,116679,2005-04-12
217657,124286,2005-06-01
115621,190,1999-08-06
2202916,475785,2012-03-06
23728,17265,2002-01-17
9748,50662,2003-01-10
333240,177187,2006-07-12
145599,118843,2005-04-24
189797,208179,2007-01-30
2549237,500166,2013-05-13
2628680,501028,2013-05-28
126687,136602,2005-09-07
98404,69190,2003-08-20
128473,503475,2013-07-08
135470,522861,2015-07-25
65502,457136,2011-05-23
1308592,455351,2011-05-07
64642,333797,2008-10-29
618715,428056,2010-06-01
849216,306245,2008-05-30
2000414501,523359,2015-08-27
488441,495314,2013-02-11
89831,149593,2005-12-28
89831,227924,2007-05-14
68715,100540,2004-09-24
59476,155959,2006-02-13
27395,29214,2002-05-23
92641,92533,2004-06-03
86764,209203,2007-02-04
44807,42151,2002-10-03
398160,327356,2008-09-26
957013,325509,2008-09-17
297076,236184,2007-06-20
533770,241445,2007-07-19
245081,149887,2006-01-01
183756,112984,2005-03-08
261027,200148,2006-12-11
1072593,445026,2010-12-29
101792,70611,2003-09-05
696326,273326,2007-12-21
676820,310570,2008-06-24
334242,318677,2008-08-11
42938,80050,2004-01-01
669653,269984,2007-12-05
710042,317508,2008-08-05
70558,53872,2003-02-12
653438,268942,2007-11-29
57256,176110,2006-07-04
398275,205331,2007-01-14
50969,165856,2006-04-26
2189975,474769,2012-02-22
50969,138005,2005-09-20
430471,216945,2007-03-15
47892,164526,2006-04-16
20477,50184,2003-01-07
208389,316470,2008-07-29
451456,343338,2008-12-13
60919,137434,2005-09-14
94272,95534,2004-07-13
6164,30473,2002-06-05
22973,24470,2002-04-08
435663,311991,2008-07-04
237783,225707,2007-05-01
305531,242830,2007-07-27
719313,336744,2008-11-12
71479,83542,2004-02-10
76251,91626,2004-05-22
779526,303457,2008-05-13
165850,176717,2006-07-10
50143,39226,2002-09-03
412147,216030,2007-03-10
120121,268169,2007-11-27
158962,98357,2004-08-24
236470,150365,2006-01-04
195137,243251,2007-07-29
27395,20186,2002-02-20
64918,109818,2005-01-28
260629,243785,2007-08-01
237783,207525,2007-01-25
329769,226246,2007-05-04
336058,353044,2009-01-30
603152,263781,2007-11-07
93406,66932,2003-07-16
41810,48131,2002-12-09
29110,32363,2002-06-26
240552,293225,2008-03-21
240500,235173,2007-06-16
237783,226001,2007-05-02
450571,220186,2007-04-02
333475,217201,2007-03-16
199418,194665,2006-11-09
569628,269909,2007-12-05
237783,259693,2007-10-17
59780,161370,2006-03-24
208121,152261,2006-01-18
208121,152259,2006-01-18
779526,303460,2008-05-13
284180,270259,2007-12-07
741512,345123,2008-12-24
113941,125195,2005-06-09
89831,141939,2005-10-19
89831,171442,2006-06-05
344716,212188,2007-02-19
254614,262208,2007-10-30
432503,207857,2007-01-28
356062,221049,2007-04-06
356062,221116,2007-04-06
29655,130819,2005-07-22
31525,20223,2002-02-20
31445,190108,2006-10-13
296809,158372,2006-03-02
402135,219681,2007-03-29
568297,261215,2007-10-25
305430,179640,2006-07-29
398160,250883,2007-09-04
98812,140855,2005-10-10
197023,120297,2005-05-02
172755,130492,2005-07-19
236760,164634,2006-04-17
599568,293836,2008-03-24
265809,169586,2006-05-24
431867,261296,2007-10-25
108291,101115,2004-10-01
649173,271594,2007-12-12
295591,164291,2006-04-14
98812,251528,2007-09-07
64780,250833,2007-09-04
751759,343448,2008-12-14
